content_name,content_type,kcs
JWorkHours2,animated_example,"['TryCatchStatement', 'java.lang.Double.parseDouble', 'java.lang.Integer.parseInt', 'StringVariable', 'ArrayElement', 'nullInitialization', nan]"
JWriteSquaresOdd,animated_example,"['MultiplyExpression', 'AddAssignmentExpression', 'ForStatement', 'LessExpression']"
JWriteSquaresRange,animated_example,"['LessEqualExpression', 'MultiplyExpression', 'PostIncrementExpression', 'ForStatement']"
LoanTester2,animated_example,"['InstanceFieldInvocation', 'ThisReference', 'DoubleDataType', 'ReturnStatement', 'InstanceField', 'PrivateFieldSpecifier']"
PointTester2,animated_example,"['ReturnStatement', 'PrivateFieldSpecifier', 'InstanceField', 'java.lang.Math.sqrt', 'SimpleVariable']"
PythagoreanTheorem2,animated_example,"['java.lang.Math.pow', 'java.lang.Math.sqrt', 'DoubleDataType', 'SubtractExpression']"
StringAddition2,animated_example,"['AddExpression', 'StringAddition', 'StringDataType']"
TVTester2,animated_example,"['FALSE', 'InstanceFieldInitializationStatement', 'AndExpression', 'PrivateFieldSpecifier', 'InstanceField', 'IfStatement']"
Transactions2,animated_example,"['LongDataType', 'ReturnStatement', 'InstanceField', 'PrivateFieldSpecifier', 'PublicConstructorSpecifier', 'ConstructorDefinition', 'DoubleDataType', 'FinalFieldSpecifier']"
VendingMachine2,animated_example,"['Constant', 'ConstantInitializationStatement', 'ModulusExpression', 'DivideExpression', 'MultiplyExpression']"
ifElseOddEven,animated_example,"['ModulusExpression', 'EqualExpression', 'IfElseStatement', 'ObjectMethodInvocation']"
